LaunchId,LaunchTime,LaunchStatus,RocketName,RocketOrganisation,Location,LaunchYear,Emissions
1693,2020-07-20 21:30:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020,1288350.0
1694,2019-11-11 14:56:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2019,1288350.0
1695,2020-01-07 02:19:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020,1288350.0
1912,2020-04-09 11:46:00+00:00,Failure,Long March 3B/E,CASC,"LC-2, Xichang Satellite Launch Center, China",2020,1476000.0
1913,2020-07-23 04:41:00+00:00,Success,Long March 5,CASC,"LC-101, Wenchang Satellite Launch Center, China",2020,2220750.0
1923,2020-12-18 12:26:00+00:00,Success,Soyuz 2.1b/Fregat,Starsem,"Site 1S, Vostochny Cosmodrome, Russia",2020,863100.0
1983,2019-06-24 18:09:00+00:00,Success,Long March 3B/E,CASC,"LC-3, Xichang Satellite Launch Center, China",2019,1476000.0
2021,2019-07-26 03:57:00+00:00,Success,Long March 2C,CASC,"LC-3, Xichang Satellite Launch Center, China",2019,684000.0
2173,2021-12-09 06:00:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021,1288350.0
2202,2019-07-10 17:14:00+00:00,Success,Soyuz 2.1v/Volga,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2019,393750.0
2284,2020-07-09 12:11:00+00:00,Success,Long March 3B/E,CASC,"LC-3, Xichang Satellite Launch Center, China",2020,1476000.0
2285,2020-11-06 03:19:00+00:00,Success,Long March 6,CASC,"LC-16, Taiyuan Satellite Launch Center, China",2020,324450.0
2286,2019-08-19 12:03:00+00:00,Success,Long March 3B/E,CASC,"LC-2, Xichang Satellite Launch Center, China",2019,1476000.0
2287,2019-12-07 02:55:00+00:00,Success,Kuaizhou 1A,ExPace,"Taiyuan Satellite Launch Center, China",2019,142500.0
2288,2019-08-29 00:00:00+00:00,Prelaunch Failure,Safir-1B+,Iranian Space Agency,"Imam Khomeini Spaceport, Semnan Space Center, Iran",2019,93600.0
2403,2021-01-24 15:00:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,1288350.0
2404,2021-06-30 19:31:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,1288350.0
2407,2019-08-30 23:41:00+00:00,Success,Kuaizhou 1A,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2019,142500.0
2408,2020-10-14 05:45:00+00:00,Success,Soyuz 2.1a,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020,863100.0
2410,2020-02-15 20:21:00+00:00,Success,Antares 230+,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2020,787500.0
2411,2020-05-20 17:31:00+00:00,Success,H-IIB,MHI,"LA-Y2, Tanegashima Space Center, Japan",2020,1575000.0
2550,2021-06-17 01:22:00+00:00,Success,Long March 2F/G,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",2021,1479600.0
2551,2020-07-23 14:26:00+00:00,Success,Soyuz 2.1a,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020,863100.0
2556,2021-09-20 07:10:00+00:00,Success,Long March 7,CASC,"LC-201, Wenchang Satellite Launch Center, China",2021,1575000.0
2557,2021-05-29 12:55:00+00:00,Success,Long March 7,CASC,"LC-201, Wenchang Satellite Launch Center, China",2021,1575000.0
2558,2021-10-15 16:23:00+00:00,Success,Long March 2F/G,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",2021,1479600.0
2561,2021-03-22 06:07:00+00:00,Success,Soyuz 2.1a/Fregat-M,GK LS,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021,863100.0
2568,2020-01-29 14:06:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020,1288350.0
2569,2020-02-17 15:05:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020,1288350.0
2570,2020-03-18 12:16:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020,1288350.0
2571,2020-04-22 19:30:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020,1288350.0
2572,2020-06-04 01:25:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020,1288350.0
2574,2020-08-07 05:12:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020,1288350.0
2573,2020-06-13 09:21:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020,1288350.0
2575,2020-08-18 14:31:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020,1288350.0
2577,2020-10-06 11:29:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020,1288350.0
2576,2020-09-03 12:46:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020,1288350.0
2578,2020-10-18 12:25:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020,1288350.0
2579,2020-10-24 15:31:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020,1288350.0
2603,2019-12-07 08:52:00+00:00,Success,Kuaizhou 1A,ExPace,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2019,142500.0
2605,2020-06-13 05:12:00+00:00,Success,Electron/Curie,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2020,40950.0
2606,2019-09-26 07:46:00+00:00,Success,Soyuz 2.1b/Fregat,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2019,863100.0
2607,2021-07-29 06:00:00+00:00,Success,Electron/Curie,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2021,40950.0
2608,2019-09-25 00:54:00+00:00,Success,Long March 2D,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2019,828000.0
2609,2019-10-04 18:51:00+00:00,Success,Long March 4C,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2019,900000.0
2610,2019-10-17 01:22:00+00:00,Success,Electron/Curie,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2019,40950.0
2611,2019-10-17 15:21:00+00:00,Success,Long March 3B/E,CASC,"LC-3, Xichang Satellite Launch Center, China",2019,1476000.0
2612,2019-12-11 08:54:00+00:00,Success,Soyuz 2.1b/Fregat,VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia",2019,863100.0
2614,2020-10-03 01:16:00+00:00,Success,Antares 230+,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2020,787500.0
2620,2019-11-17 10:00:00+00:00,Success,Kuaizhou 1A,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2019,142500.0
2621,2019-11-23 00:55:00+00:00,Success,Long March 3B/YZ-1,CASC,"LC-3, Xichang Satellite Launch Center, China",2019,1476000.0
2622,2019-11-13 06:35:00+00:00,Success,Long March 6,CASC,"LC-16, Taiyuan Satellite Launch Center, China",2019,324450.0
2623,2019-11-25 17:52:00+00:00,Success,Soyuz 2.1v/Volga,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2019,393750.0
2624,2019-11-27 23:52:00+00:00,Success,Long March 4C,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2019,900000.0
2663,2021-02-20 17:36:00+00:00,Success,Antares 230+,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2021,787500.0
2664,2020-01-16 03:02:00+00:00,Success,Kuaizhou 1A,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2020,142500.0
2665,2020-05-12 01:16:00+00:00,Success,Kuaizhou 1A,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2020,142500.0
2666,2020-01-15 02:53:00+00:00,Success,Long March 2D,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2020,828000.0
2667,2020-12-22 04:37:00+00:00,Success,Long March 8,CASC,"LC-201, Wenchang Satellite Launch Center, China",2020,1575000.0
2670,2020-11-25 02:13:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020,1288350.0
2671,2021-01-20 13:02:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021,1288350.0
2672,2021-03-04 08:24:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021,1288350.0
2674,2021-02-16 03:59:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,1288350.0
2673,2021-02-04 06:19:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,1288350.0
2675,2021-03-11 08:13:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,1288350.0
2676,2021-03-14 10:01:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021,1288350.0
2677,2021-03-24 08:28:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,1288350.0
2678,2021-04-07 16:34:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,1288350.0
2679,2021-04-29 03:44:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,1288350.0
